Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PY35"
Duration Time,300.579
Ambient Temperature,"102.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"16368532"
Raw Accumulated Counts,"19181527"
Valid Count Last Packet,"50423"
Raw Count Last Packet,"58749"
Live Time,256.101959
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0239
Number of Channels,2048
Vacuum,678
Channel#,Intensity
851,"2348"
852,"2353"
853,"2388"
854,"2373"
855,"2333"
856,"2388"
857,"2506"
858,"2586"
859,"2695"
860,"2642"
861,"2667"
862,"2748"
863,"2686"
864,"2757"
865,"2832"
866,"2639"
867,"2718"
868,"2563"
869,"2557"
870,"2487"
871,"2378"
872,"2300"
873,"2215"
874,"2277"
875,"2267"
876,"2266"
877,"2278"
878,"2229"
879,"2241"
880,"2253"
881,"2282"
882,"2317"
883,"2205"
884,"2204"
885,"2183"
886,"2256"
887,"2211"
888,"2229"
889,"2201"
890,"2275"
891,"2220"
892,"2226"
893,"2160"
894,"2271"
895,"2190"
896,"2298"
897,"2279"
898,"2289"
899,"2329"
900,"2201"
901,"2421"
902,"2358"
903,"2363"
904,"2337"
905,"2408"
906,"2490"
907,"2379"
908,"2505"
909,"2536"
910,"2555"
911,"2506"
912,"2481"
913,"2472"
914,"2607"
915,"2483"
916,"2489"
917,"2564"
918,"2573"
919,"2542"
920,"2531"
921,"2635"
922,"2649"
923,"2679"
924,"2668"
925,"2787"
926,"2907"
927,"2964"
928,"2963"
929,"3074"
930,"3286"
931,"3290"
932,"3506"
933,"3614"
934,"3755"
935,"3898"
936,"4094"
937,"4153"
938,"4204"
939,"4591"
940,"4659"
941,"4804"
942,"4793"
943,"4981"
944,"5100"
945,"5329"
946,"5659"
947,"5436"
948,"5597"
949,"5518"
950,"5572"
951,"5771"
952,"5588"
953,"5785"
954,"5457"
955,"5433"
956,"5507"
957,"5261"
958,"5161"
959,"4887"
960,"4798"
961,"4559"
962,"4445"
963,"4280"
964,"4123"
965,"4042"
966,"3714"
967,"3517"
968,"3387"
969,"3346"
970,"3100"
971,"3011"
972,"2989"
973,"2869"
974,"2675"
975,"2721"
976,"2605"
977,"2508"
978,"2418"
979,"2367"
980,"2302"
981,"2254"
982,"2254"
983,"2181"
984,"2107"
985,"2184"
986,"2121"
987,"2024"
988,"2098"
989,"2072"
990,"2128"
991,"2149"
992,"2302"
993,"2307"
994,"2622"
995,"2701"
996,"3100"
997,"3498"
998,"3946"
999,"4424"
1000,"5117"
1001,"5825"
1002,"6318"
1003,"6933"
1004,"7621"
1005,"7927"
1006,"8328"
1007,"8773"
1008,"8867"
1009,"8953"
1010,"8876"
1011,"8358"
1012,"7883"
1013,"7212"
1014,"6356"
1015,"5701"
1016,"4820"
1017,"4318"
1018,"3513"
1019,"2947"
1020,"2568"
1021,"2310"
1022,"2070"
1023,"1942"
1024,"1932"
1025,"1818"
1026,"1677"
1027,"1749"
1028,"1679"
1029,"1675"
1030,"1751"
1031,"1676"
1032,"1711"
1033,"1777"
1034,"1731"
1035,"1764"
1036,"1759"
1037,"1776"
1038,"1838"
1039,"1819"
1040,"1859"
1041,"2054"
1042,"2056"
1043,"2152"
1044,"2313"
1045,"2473"
1046,"2573"
1047,"2807"
1048,"3098"
1049,"3193"
1050,"3391"
1051,"3620"
1052,"3745"
1053,"3822"
1054,"4005"
1055,"4023"
1056,"4362"
1057,"4332"
1058,"4236"
1059,"4216"
1060,"4175"
1061,"3890"
1062,"3772"
1063,"3633"
1064,"3487"
1065,"3276"
1066,"3078"
1067,"2978"
1068,"2833"
1069,"2726"
1070,"2520"
1071,"2692"
1072,"2557"
1073,"2503"
1074,"2497"
1075,"2390"
1076,"2502"
1077,"2356"
1078,"2366"
1079,"2279"
1080,"2306"
1081,"2246"
1082,"2251"
1083,"2287"
1084,"2250"
1085,"2189"
1086,"2144"
1087,"2117"
1088,"2225"
1089,"2154"
1090,"2052"
1091,"2082"
1092,"2084"
1093,"2054"
1094,"2065"
1095,"2070"
1096,"2008"
1097,"1991"
1098,"2014"
1099,"2011"
1100,"1966"
1101,"2093"
1102,"2062"
1103,"1984"
1104,"2032"
1105,"2037"
1106,"2051"
1107,"1990"
1108,"1965"
1109,"1967"
1110,"2028"
1111,"2072"
1112,"1997"
1113,"2003"
1114,"1989"
1115,"2044"
1116,"2159"
1117,"2196"
1118,"2170"
1119,"2140"
1120,"2140"
1121,"2213"
1122,"2227"
1123,"2339"
1124,"2310"
1125,"2406"
1126,"2588"
1127,"2631"
1128,"2829"
1129,"3079"
1130,"3297"
1131,"3627"
1132,"3980"
1133,"4644"
1134,"5383"
1135,"6470"
1136,"8116"
1137,"10406"
1138,"13509"
1139,"17479"
1140,"22569"
1141,"28953"
1142,"36541"
1143,"44815"
1144,"54226"
1145,"63650"
1146,"73631"
1147,"82794"
1148,"92787"
1149,"101819"
1150,"109210"
1151,"118972"
1152,"125032"
1153,"132907"
1154,"139224"
1155,"144283"
1156,"146969"
1157,"146971"
1158,"144775"
1159,"139147"
1160,"129938"
1161,"118311"
1162,"104059"
1163,"89514"
1164,"73765"
1165,"59286"
1166,"46710"
1167,"35141"
1168,"25972"
1169,"18866"
1170,"13341"
1171,"9415"
1172,"6592"
1173,"4734"
1174,"3412"
1175,"2529"
1176,"2196"
1177,"1860"
1178,"1647"
1179,"1572"
1180,"1458"
1181,"1386"
1182,"1361"
1183,"1361"
1184,"1386"
1185,"1425"
1186,"1411"
1187,"1365"
1188,"1406"
1189,"1446"
1190,"1430"
1191,"1366"
1192,"1316"
1193,"1301"
1194,"1347"
1195,"1302"
1196,"1225"
1197,"1153"
1198,"1074"
1199,"1062"
1200,"1008"
1201,"974"
1202,"1008"
1203,"966"
1204,"978"
1205,"968"
1206,"974"
1207,"1006"
1208,"909"
1209,"935"
1210,"936"
1211,"966"
1212,"961"
1213,"957"
1214,"909"
1215,"978"
1216,"939"
1217,"919"
1218,"897"
1219,"860"
1220,"901"
1221,"884"
1222,"832"
1223,"822"
1224,"790"
1225,"772"
1226,"832"
1227,"818"
1228,"797"
1229,"774"
1230,"797"
1231,"798"
1232,"762"
1233,"816"
1234,"732"
1235,"763"
1236,"794"
1237,"759"
1238,"771"
1239,"753"
1240,"763"
1241,"765"
1242,"754"
1243,"762"
1244,"750"
1245,"757"
1246,"765"
1247,"772"
1248,"763"
1249,"792"
1250,"725"
1251,"746"
1252,"837"
1253,"751"
1254,"783"
1255,"752"
1256,"734"
1257,"766"
1258,"752"
1259,"743"
1260,"777"
1261,"775"
1262,"752"
1263,"808"
1264,"751"
1265,"786"
1266,"752"
1267,"796"
1268,"780"
1269,"782"
1270,"819"
1271,"819"
1272,"790"
1273,"733"
1274,"854"
1275,"738"
1276,"789"
1277,"778"
1278,"832"
1279,"821"
1280,"791"
1281,"840"
1282,"852"
1283,"889"
1284,"971"
1285,"1022"
1286,"1158"
1287,"1239"
1288,"1536"
1289,"1915"
1290,"2502"
1291,"3278"
1292,"4235"
1293,"5574"
1294,"7062"
1295,"9163"
1296,"11173"
1297,"13914"
1298,"16621"
1299,"19389"
1300,"21677"
1301,"23703"
1302,"25174"
1303,"26224"
1304,"26262"
1305,"25467"
1306,"24325"
1307,"22226"
1308,"19582"
1309,"17353"
1310,"14426"
1311,"11755"
1312,"9672"
1313,"7602"
1314,"5779"
1315,"4542"
1316,"3556"
1317,"2646"
1318,"2306"
1319,"1944"
1320,"1893"
1321,"1893"
1322,"2116"
1323,"2357"
1324,"2583"
1325,"2980"
1326,"3636"
1327,"3979"
1328,"4378"
1329,"4626"
1330,"4795"
1331,"4870"
1332,"4880"
1333,"4727"
1334,"4290"
1335,"4211"
1336,"3777"
1337,"3144"
1338,"2563"
1339,"2146"
1340,"1840"
1341,"1451"
1342,"1108"
1343,"857"
1344,"705"
1345,"548"
1346,"494"
1347,"397"
1348,"317"
1349,"335"
1350,"327"
1351,"270"
1352,"246"
1353,"267"
1354,"253"
1355,"289"
1356,"235"
1357,"231"
1358,"268"
1359,"274"
1360,"241"
1361,"250"
1362,"246"
1363,"255"
1364,"245"
1365,"244"
1366,"259"
1367,"257"
1368,"263"
1369,"297"
1370,"229"
1371,"274"
1372,"268"
1373,"279"
1374,"291"
1375,"305"
1376,"326"
1377,"305"
1378,"284"
1379,"289"
1380,"294"
1381,"281"
1382,"331"
1383,"305"
1384,"294"
1385,"304"
1386,"265"
1387,"269"
1388,"280"
1389,"252"
1390,"277"
1391,"272"
1392,"283"
1393,"257"
1394,"268"
1395,"262"
1396,"293"
1397,"284"
1398,"266"
1399,"247"
1400,"288"
1401,"276"
1402,"286"
1403,"253"
1404,"270"
1405,"230"
1406,"229"
1407,"276"
1408,"256"
1409,"272"
1410,"214"
1411,"240"
1412,"235"
1413,"221"
1414,"234"
1415,"227"
1416,"253"
1417,"207"
1418,"198"
1419,"230"
1420,"241"
1421,"200"
1422,"221"
1423,"232"
1424,"240"
1425,"229"
1426,"231"
1427,"207"
1428,"234"
1429,"213"
1430,"212"
1431,"235"
1432,"220"
1433,"218"
1434,"219"
1435,"213"
1436,"237"
1437,"211"
1438,"217"
1439,"226"
1440,"225"
1441,"218"
1442,"242"
1443,"209"
1444,"198"
1445,"200"
1446,"222"
1447,"184"
1448,"207"
1449,"209"
1450,"204"
1451,"217"
1452,"171"
1453,"214"
1454,"182"
1455,"177"
1456,"209"
1457,"205"
1458,"201"
1459,"200"
1460,"185"
1461,"178"
1462,"204"
1463,"182"
1464,"191"
1465,"207"
1466,"166"
1467,"179"
1468,"185"
1469,"193"
1470,"190"
1471,"178"
1472,"183"
1473,"186"
1474,"192"
1475,"176"
1476,"201"
1477,"169"
1478,"183"
1479,"173"
1480,"202"
1481,"169"
1482,"185"
1483,"169"
1484,"185"
1485,"182"
1486,"197"
1487,"186"
1488,"171"
1489,"206"
1490,"180"
1491,"171"
1492,"192"
1493,"181"
1494,"167"
1495,"183"
1496,"166"
1497,"165"
1498,"166"
1499,"161"
1500,"175"
1501,"154"
1502,"175"
1503,"185"
1504,"148"
1505,"130"
1506,"145"
1507,"155"
1508,"168"
1509,"151"
1510,"147"
1511,"143"
1512,"156"
1513,"120"
1514,"165"
1515,"155"
1516,"165"
1517,"158"
1518,"180"
1519,"143"
1520,"158"
1521,"134"
1522,"178"
1523,"154"
1524,"168"
1525,"157"
1526,"173"
1527,"172"
1528,"184"
1529,"136"
1530,"156"
1531,"155"
1532,"181"
1533,"179"
1534,"169"
1535,"172"
1536,"155"
1537,"151"
1538,"156"
1539,"154"
1540,"148"
1541,"143"
1542,"161"
1543,"130"
1544,"156"
1545,"139"
1546,"146"
1547,"137"
1548,"136"
1549,"150"
1550,"144"
1551,"151"
1552,"153"
1553,"141"
1554,"138"
1555,"131"
1556,"149"
1557,"150"
1558,"154"
1559,"141"
1560,"167"
1561,"141"
1562,"159"
1563,"160"
1564,"154"
1565,"128"
1566,"153"
1567,"168"
1568,"159"
1569,"155"
1570,"173"
1571,"189"
1572,"211"
1573,"228"
1574,"239"
1575,"284"
1576,"288"
1577,"314"
1578,"361"
1579,"446"
1580,"509"
1581,"517"
1582,"553"
1583,"664"
1584,"693"
1585,"807"
1586,"877"
1587,"901"
1588,"924"
1589,"947"
1590,"947"
1591,"996"
1592,"966"
1593,"893"
1594,"845"
1595,"815"
1596,"781"
1597,"731"
1598,"719"
1599,"676"
1600,"676"
1601,"713"
1602,"771"
1603,"778"
1604,"835"
1605,"919"
1606,"1002"
1607,"1051"
1608,"1047"
1609,"1020"
1610,"1024"
1611,"1020"
1612,"938"
1613,"842"
1614,"723"
1615,"666"
1616,"598"
1617,"533"
1618,"467"
1619,"374"
1620,"292"
1621,"258"
1622,"261"
1623,"198"
1624,"206"
1625,"182"
1626,"139"
1627,"147"
1628,"139"
1629,"153"
1630,"142"
1631,"163"
1632,"147"
1633,"141"
1634,"142"
1635,"144"
1636,"124"
1637,"132"
1638,"137"
1639,"129"
1640,"135"
1641,"101"
1642,"119"
1643,"111"
1644,"112"
1645,"112"
1646,"105"
1647,"95"
1648,"83"
1649,"89"
1650,"76"
1651,"91"
1652,"87"
1653,"91"
1654,"62"
1655,"80"
1656,"76"
1657,"73"
1658,"90"
1659,"61"
1660,"77"
1661,"65"
1662,"89"
1663,"79"
1664,"72"
1665,"84"
1666,"67"
1667,"68"
1668,"76"
1669,"73"
1670,"70"
1671,"89"
1672,"61"
1673,"65"
1674,"71"
1675,"73"
1676,"66"
1677,"64"
1678,"75"
1679,"61"
1680,"68"
1681,"74"
1682,"70"
1683,"58"
1684,"63"
1685,"74"
1686,"69"
1687,"57"
1688,"67"
1689,"65"
1690,"52"
1691,"62"
1692,"62"
1693,"52"
1694,"50"
1695,"64"
1696,"53"
1697,"61"
1698,"60"
1699,"55"
1700,"62"
1701,"63"
1702,"51"
1703,"67"
1704,"45"
1705,"61"
1706,"36"
1707,"51"
1708,"51"
1709,"51"
1710,"65"
1711,"52"
1712,"62"
1713,"46"
1714,"47"
1715,"39"
1716,"57"
1717,"48"
1718,"45"
1719,"55"
1720,"54"
1721,"53"
1722,"42"
1723,"54"
1724,"54"
1725,"58"
